ITEM_20150317_000001	Empty_helmet	없음_helmet
ITEM_20150317_000248	Dunkel-Landstreicherstock	던켈 케인 로버
ITEM_20150317_000249	Dunkelzauberstock	던켈 케인
ITEM_20150317_000250	Dunkelzinnstab	던켈 퓨터 로드
ITEM_20150317_000251	Schlangenstab	스네이크 로드
ITEM_20150317_000252	Änderstab	알터 로드
ITEM_20150317_000253	Nald-Stab	날드 로드
ITEM_20150317_000254	Stab des Ältesten	엘더 로드
ITEM_20150317_000255	Meteoritenstab	미티어 로드
ITEM_20150317_000256	Ringstab	링 로드
ITEM_20150317_000257	Stab des Dieners	서번트 로드
ITEM_20150317_000258	Panto-Stab	판토 로드
ITEM_20150317_000259	Zauberkundige haben neue Fakten über die Monster herausgefunden, die im Nachklang von Medzio Diena erschienen, und können sie auf verschiedene Situationen anwenden.	마법사들은 식물재앙 이후 출현한 몬스터에게서 새로운 사실들을 발견해 이용하곤 합니다.
ITEM_20150317_000260	Eisstab	아이스 로드
ITEM_20150317_000261	Gerüchten zufolge geht bei jedem Verkauf einer Anleitung für die Herstellung dieses Stabs ein Teil des Geldes an den Kryomantenmeister.	소문에 따르면 이 지팡이의 제작서가 팔릴 때마다 크리오맨서 마스터에게 돈이 지불된다고 합니다.
ITEM_20150317_000262	Feuerstab	파이어 로드
ITEM_20150317_000263	Nur die Pyromantenmeisterin weiß, wie man diese Stäbe mit der Macht der Göttin Gabija tränkt.	여기 속하는 모든 로드에 가비야 여신의 힘을 깃들게 하는 방법을 아는 사람은 파이로맨서 마스터뿐입니다.
ITEM_20150317_000264	Vasia-Stab	바시아 로드
ITEM_20150317_000265	Bei der Fertigung dieses Stabs spielen Geister eine Rolle. Dies wird von Priestern missbilligt, was die Zauberkundigen jedoch ignorieren.	사제들은 마법사들이 이 제조작업에서 영혼을 다루는 일을 마땅치 않게 생각하지만, 마법사들은 신경 쓰지 않습니다.
ITEM_20150317_000266	Magiestab	매직 로드
ITEM_20150317_000267	Dieser einfache Stab verstärkt die Wirkung der Magie und kann von Nachwuchsmagiern problemlos hergestellt werden.	초보 마법사도 쉽게 만들 수 있는 형태의 마법강화 로드입니다.
ITEM_20150317_000268	Grynas-Stab	그리나스 로드
ITEM_20150317_000269	Da es seit Medzio Diena immer mehr Dämonen gibt, ist dieser ohnehin schon teure Stab jetzt noch teurer geworden.	식물재앙후 늘어난 마족 탓에 이 로드의 수요가 커져 원래 고가인 가격이 더 높아졌습니다.
ITEM_20150317_000270	Cheminis-Stab	케미니스 로드
ITEM_20150317_000271	Sein Name ähnelt zwar dem einer anderen Waffe, aber dieser Stab steht in keiner Verbindung zur Familie Winterkelle.	동명의 다른 장비와 달리 이것은 윈터스푼 가문과 직접 관련이 없습니다.
ITEM_20150317_000272	Erzstab	아크 로드
ITEM_20150317_000273	Diese Waffe hilft angehenden Zauberkundigen dabei, ihre Künste um die fortgeschrittene Zauberei zu bereichern. Sobald der Zauberkundige sein Lernziel erreicht hat, wird sie jedoch durch eine andere ersetzt.	더 높은 경지에 도달하고자 하는 마법사가 그 디딤돌로 자주 사용하는 장비입니다. 일단 높아진 지능으로 목적을 이루면 다른 장비를 사용하곤 합니다.
ITEM_20150317_000274	Imperni-Stab	임페르니 로드
ITEM_20150317_000275	Dieser Stab ist besonders bei Zauberkundigen beliebt, die gerne auffallen.	개성을 추구하는 마법사들이 애용하는 장비입니다.
ITEM_20150317_000276	Langstab des Aras	아라스의 롱 로드
ITEM_20150317_000277	Er ist recht günstig und wird deswegen unter Zauberkundigen gerne verschenkt.	적절한 가격 덕분에 마법사들 사이에 간단한 선물로 자주 교환되는 물품 가운데 하나입니다.
ITEM_20150317_000278	Stab des Schmieds	스미스 로드
ITEM_20150317_000279	Gleichgültig, wer ihn verwendet – dieser Stab hat etwas Merkwürdiges.	이 장비의 의외성은 사용자에 영향을 받지 않습니다.
ITEM_20150317_000280	Klavis-Stab	클라비스 로드
ITEM_20150317_000281	Es kann gut sein, dass du der erste Zauberkundige in der Geschichte der Zauberei bist, der diese Waffe benutzt.	당신이 이것을 사용하는 첫 역사적 인물이 되기를 바랍니다.
ITEM_20150317_000282	Dio-Stab	디오 로드
ITEM_20150317_000283	Trescher-Stab	트레시 로드
ITEM_20150317_000284	Sestas-Stab	세스타스 로드
ITEM_20150317_000285	Dratt-Stab	드라트 로드
ITEM_20150317_000286	Aston-Stab	아스턴 로드
ITEM_20150317_000287	Devi-Stab	데비 로드
ITEM_20150317_000288	Prima-Stab	프리마 로드
ITEM_20150317_000289	Temere	테메레
ITEM_20150317_000290	Dieser Stab wird auch "Stab der Geduld" genannt. Legenden zufolge erschuf die größte Zauberin aller Zeiten, Agailla Hekti, diesen Stab, um ihn bei der Ausbildung ihrer Schüler und Schülerinnen einzusetzen.	이 로드의 별칭은 인내의 지팡이입니다. 전설에 따르면 역사상 최고의 마법사인 아가일라 플러리가 제자들을 지도하기 위해 고안했다고 합니다. 
ITEM_20150317_000291	Zündelstab	이그니션
ITEM_20150317_000292	Die Pyromantenmeisterin gibt sich die größte Mühe herauszufinden, wie die instabilen Aspekte dieses Kampfstabs zu beseitigen sind, jedoch bisher ohne Erfolg.	파이로맨서 마스터는 이 지팡이의 상충되는 부분을 완화하고자 노력중이지만, 아직 진전은 없다고 합니다.
ITEM_20150317_000293	Secretum	세크레툼
ITEM_20150317_000294	Diese Waffe ist einzig und allein für Zauberkundige gedacht. Ihre Fehler werden von den meisten Anwendern großzügig ignoriert.	마법사를 위한 마법사만의 장비입니다. 따라서 마법사들은 이 지팡이의 단점은 보통 무시합니다.
ITEM_20150317_000295	Stab des Todeswebers	데스위버 로드
ITEM_20150317_000296	Dieser Stab enthält die Macht des Todeswebers.	데스위버의 힘이 담긴 장비입니다.
ITEM_20150317_000297	Stab des Schauermahrs	채퍼리션 로드
ITEM_20150317_000298	Zaima	자이마
ITEM_20150317_000299	Gerüchten zufolge ist dieser Stab alleine deswegen so teuer, weil der Kryomantenmeister auf einen solch hohen Preis besteht.	이 로드의 제작서 가격이 비싼 이유는 크리오맨서 마스터의 강력한 요구에 따른 것이라고 합니다.
ITEM_20150317_000300	Epor	에포스
ITEM_20150317_000301	Dieser Stab ist schon sehr, sehr alt und damals floss in seine Herstellung alles verfügbare magische Wissen der Zeit. Aus diesem Grund kann der Stab unabhängig vom aktuellen Stand der Magie nicht mehr erweitert oder verbessert werden.	오래 전 당시 최고의 마법학이 동원되어 만들어진 지팡이입니다. 따라서 이 장비에 뭔가를 더하는 일은 현재 기술로도 불가능합니다. 
ITEM_20150317_000302	Funkelstab	반짝 로드
ITEM_20150317_000303	Der funkelnde Stern dieses Stabs taucht die Umgebung stets in ein sanftes Licht.	언제나 빛나는 별을 볼 수 있습니다.
ITEM_20150317_000304	Empty_weapon_THBow	없음_weapon_THBow
ITEM_20150317_000305	Primitiver Leichtbogen	조악한 라이트 보우
ITEM_20150317_000306	Bogen [Stoß]	활[찌르기]
ITEM_20150317_000307	Diese simple Waffe kann sogar in Heimarbeit hergestellt werden.	가내에서도 만들 수 있는 가장 간단한 활입니다.
ITEM_20150317_000308	Leichtbogen	라이트 보우
ITEM_20150317_000309	Dieser Bogen wird von den Bewohnern des Königreichs und seiner Territorien häufig hergestellt und verwendet.	귀족령 및 여러 곳에서 많은 사람들이 제조하여 사용합니다.
ITEM_20150317_000310	Einfacher Kurzbogen	로우 숏 보우
ITEM_20150317_000311	Obwohl dieser Bogen für Anfänger gedacht sind, wird er von einigen erfahrenen Bogenschützen auch weiterhin benutzt.	입문용이지만 능숙해진 후에도 사용을 고집하는 궁수도 있습니다.
ITEM_20150317_000312	Einfacher Langbogen	로우 롱 보우
ITEM_20150317_000313	Eine etwas größere Distanz kann manchmal über Leben und Tod entscheiden. Dieser Bogen ist eine gute Wahl, wenn du eine größere Reichweite wünschst.	작은 거리가 생사를 가를 때가 있습니다. 조금 더 긴 사정거리를 원한다면 롱보우도 좋은 선택입니다.
ITEM_20150317_000314	Kompositbogen	컴포지트 보우
ITEM_20150317_000315	Dieser Bogen ist flexibler als andere, da bei seiner Herstellung verschiedene Materialien eingesetzt wurden.	많은 재료를 적용하여 탄성을 강화시킨 활입니다.
ITEM_20150317_000316	Pfeilbogen	셀프 보우
ITEM_20150317_000317	Dieser Bogen ist das Symbol der unerschütterlichen Entschlossenheit eines unnachgiebigen Bogenschützen.	스스로 뼈를 깎는 수련을 다짐하는 궁사의 자세를 의미합니다.
ITEM_20150317_000318	Rokas-Bogen	로카스 보우
ITEM_20150317_000319	Der Name leitet sich wahrscheinlich von dem Heimatort des Erbauers ab.	이 활을 처음으로 고안한 사람의 출신지를 따라 명칭이 붙은 것으로 추측됩니다.
ITEM_20150317_000320	Gorithos	고리토스
ITEM_20150317_000321	Ein von der Kavallerie bevorzugter Bogen.	궁기병들이 애용하는 활입니다.
ITEM_20150317_000322	Gulail	굴라일
ITEM_20150317_000323	Diese Waffe ist der erste bekannte Bogen, bei dessen Herstellung Magie eingesetzt wurde. Er wird von einer bestimmten Käuferschicht bevorzugt.	활 제조에 마법을 이용한 첫 사례로 역사에 기록된 활입니다. 그후로도 꾸준히 제작되고 있습니다.
ITEM_20150317_000324	Kaman	카만
ITEM_20150317_000325	Dieser Bogen ist für Bogenschützen gemacht, die sich besonders durch Stärke ihres Arms hervortun.	근력에 자신있는 궁사들이 이런 강력한 개조를 좋아합니다.
ITEM_20150317_000326	Primitiver Rokas-Bogen	조악한 로카스 보우
ITEM_20150317_000327	Primitiver Gorithos	조악한 고리토스
ITEM_20150317_000328	Leichtbogen des Soldaten	병사의 라이트 보우
ITEM_20150317_000329	Dieser Bogen wurde nach den Mindestanforderungen der Armee gefertigt.	정규군 최저 규격에 맞춰 제조된 활을 지칭합니다.
ITEM_20150317_000330	Kurzbogen des Bürgermeisters	촌장의 숏 보우
ITEM_20150317_000331	Er zeigt die Spuren des täglichen Be- und Entspannens des Bogens. Trotz seines Alters ist der Bogen in einem gutem Zustand.	매일 줄을 묶고 푸는 수고를 한 흔적이 보입니다. 세월에 비해 관리는 잘 된 편입니다.
ITEM_20150317_000332	Primitiver Langbogen	조악한 롱 보우
ITEM_20150317_000333	Gendawa	겐다와
ITEM_20150317_000334	Dieser Bogen ist von denen, die ohne Einsatz von Magie hergestellt werden, der beste.	마법이 없는 공정으로 만들어진 활 중에는 가장 좋은 등급에 속하는 활입니다.
ITEM_20150317_000335	Schwerer Leichtbogen	헤비 라이트 보우
ITEM_20150317_000336	Kurzbogen	숏 보우
ITEM_20150317_000337	Schwerer Kurzbogen	헤비 숏 보우
ITEM_20150317_000338	Langbogen	롱 보우
ITEM_20150317_000339	Schwerer Kompositbogen	헤비 컴포지트 보우
ITEM_20150317_000340	Schwerer Pfeilbogen	헤비 셀프 보우
ITEM_20150317_000341	Schwerer Rokas-Bogen	헤비 로카스 보우
ITEM_20150317_000342	Dunkelpfeilbogen	던켈 셀프 보우
ITEM_20150317_000343	Dunkelkaman	던켈 카만
ITEM_20150317_000344	Dunkelkurzbogen	던켈 숏 보우
ITEM_20150317_000345	Dunkellangbogen	던켈 롱 보우
ITEM_20150317_000346	Dunkelkompositbogen	던켈 컴포지트 보우
ITEM_20150317_000347	Dunkelrokas-Bogen	던켈 로카스 보우
ITEM_20150317_000348	Reflexbogen	리커브 보우
ITEM_20150317_000349	Belagerungsbogen	시즈 보우
ITEM_20150317_000350	Heckenschützenbogen	스나이퍼 보우
ITEM_20150317_000351	Schädelbogen	스컬 보우
ITEM_20150317_000352	Hölzerner Compoundbogen	우든 컴파운드 보우
ITEM_20150317_000353	Markierbogen	테그 보우
ITEM_20150317_000354	Schurkenbogen	로그 보우
ITEM_20150317_000355	Zielsucher	시커
ITEM_20150317_000356	Dieser Bogen, der bei Jägern sehr beliebt ist, verbreitete sich nach Medzio Diena noch weiter.	예전부터 이 활은 사냥꾼들이 애용하던 활이었며, 식물재앙후 쓸모가 더 많아졌습니다.
ITEM_20150317_000357	Eisenbogen	아이언 보우
ITEM_20150317_000358	Dieser Bogen ist sehr präzise und verursacht beim Gegner häufig unerwarteten Schaden.	조준력이 우수하고 적에게 예상치 못한 피해룰 주는 일이 잦습니다.
ITEM_20150317_000359	Falkenbogen	호크 보우
ITEM_20150317_000360	Das Zusammenwirken eines Pfeilbogens aus Knochen mit Gold kann manchmal eher dürftig sein.	아무 뼈로나 마든 셀프보우는 금과 상승작용이 없는 경우도 간혹 발생합니다.
ITEM_20150317_000361	Cheminis-Bogen	케미니스 보우
ITEM_20150317_000362	Er heißt so, weil er die Beweglichkeit des Benutzers erhöht.	민첩성이 좋아지는 특징 덕에 이런 이름이 붙었습니다.
ITEM_20150317_000363	Jagdbogen	헌팅 보우
ITEM_20150317_000364	Lange Zeit fand man keine Möglichkeiten, Alchemie in die Bogenherstellung einfließen zu lassen. Seit sich dies geändert hat, sind solche Bögen sehr beliebt.	활계통의 연금술 적용은 이론만 있다가 최근 필요에 의해 많이 제작되고 있는 추세입니다.
ITEM_20150317_000365	Bogen des Bogenmachers	메이커 보우
ITEM_20150317_000366	In der Vergangenheit konnten sich nur wohlhabende Jäger diesen Bogen leisten. Aufgrund der schrecklichen Ereignissen in der jüngeren Geschichte kauft oder fertigt jedoch inzwischen jeder ihn, der es sich leisten kann.	예전에는 넉넉한 사냥꾼들이 구입했습니다. 현재는 상황이 심각해졌기에 돈이 모이면 누구나 사거나 만듭니다. 
ITEM_20150317_000367	Wilder Bogen	새비지 보우
ITEM_20150317_000368	Aufgrund der steigenden Nachfrage nach hochwertigen Bögen seit Medzio Diena wird dieser Bogen recht häufig hergestellt.	식물재앙후 고급활의 수요가 늘어나자 이 활이 많이 제조되고 있습니다. 
ITEM_20150317_000369	Schlangenbogen	스네이크 보우
ITEM_20150317_000370	Dieser Bogen ist eine gute Wahl, denn es kommt bei ihm nicht so sehr auf die Muskelkraft an. Selbst wenn der Benutzer nicht so kräftig ist, wird dies vom Bogen kompensiert.	근력이 강하거나 약하거나 이 활은 좋은 선택이 될 수 있습니다. 있으면 더 강력하게 부족하면 보충하게 되니까 말입니다.
ITEM_20150317_000371	Imperni-Bogen	임페르니 보우
ITEM_20150317_000372	Wie der Name vermuten lässt, handelt es sich bei Angriffen mit diesem Bogen um eine recht giftige Angelegenheit.	이름답게 독기어린 공격이 가능합니다.
ITEM_20150317_000373	Lethena-Bogen	레테나 보우
ITEM_20150317_000374	Dieser Bogen verleiht einem Bogenschützen dank seines Gewichts Zuversicht bei der Jagd auf große Monster.	무게감있는 활로 중량급의 몬스터를 사냥하는 기분을 느낄 수 있습니다.
ITEM_20150317_000375	Starker Bogen	스트롱 보우
ITEM_20150317_000376	Dieser Bogen ist schwierig in der Herstellung, aber er ist jede Mühe wert.	제작이 번거롭지만, 그만한 가치가 있는 무기입니다.
ITEM_20150317_000377	Kurzbogen des Aras	아라스의 숏 보우
ITEM_20150317_000378	Dieser Bogen wird normalerweise von Menschen gekauft, für die die Nutzung von Magie Neuland ist.	처음 마법활을 얻는 사람들이 주로 구입하는 무기입니다.
ITEM_20150317_000379	Zugbogen	퓰리 보우
ITEM_20150317_000380	Bogen des Schmieds	스미스 보우
ITEM_20150317_000381	Sollten alle anderen Bögen ausverkauft sein, nimm diesen und hoff aufs Beste.	다른 활이 없다면 행운을 기대하고 구입하십시오.
ITEM_20150317_000382	Klavis-Bogen	클라비스 보우
ITEM_20150317_000383	Obwohl es sich um einen magischen Bogen handelt, gilt er allgemein nur als mittelmäßig – es sei denn, der Bogenschütze ist in der Lage, ihn so einzusetzen, dass seine Stärken zum Vorschein kommen.	마법활치고는 평범하다는 평가를 듣지만, 어떤 사용자는 비범하게 쓸지도 모릅니다.
ITEM_20150317_000384	Dio-Bogen	디오 보우
ITEM_20150317_000385	Trescher-Bogen	트레시 보우
ITEM_20150317_000386	Sestas-Bogen	세스타스 보우
ITEM_20150317_000387	Dratt-Bogen	드라트 보우
ITEM_20150317_000388	Aston-Bogen	아스턴 보우
ITEM_20150317_000389	Devi-Bogen	데비 보우
